"","Year","Name of Awardee","Degree Program (If Student)","Designation","Project","Number of Sites/Regions Studies","Location of Project","Category","Project Status","Access (Link)","Call Number (If Copy Available in the Library)","date"
"74",2010,"Deni Ruggeri","N/A","Professor, Department of Landscape Architecture, School of Architecture and Allied Arts, University of Oregon, Eugene, Oregon","The European New Town Platform",NA,"N/A","Category A: Support for Senior Scholarly Research","Completed.","N/A","N/A",2010
"75",2010,"Peter Sigrist","Ph.D","Student","Transitional Landscapes:  Political Ecology of Public Parks",1,"Moscow, Russia","Category B: Support for Student Research","Completed.","https://www.thepolisblog.org/2009/06/transitional-landscapes.html","N/A",2010
"76",2010,"Clark Taylor","Masters","Student","Public Housing in Puerto Madero, Saavedra and Villa Lugana (Buenos Aires)",1,"Buenos Aires, Argentina","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/7786270","Thesis SB468 2011 T395",2010
"77",2010,"David Vater","N/A","Registered Architect, Pittsburgh, Pennsylvania","The Collection, Indexing and Conservation of an Archive for Chatham Village NHL District",1,"Chatam Village, Pittsburgh, PA","Category C: Support for Stein Sites","Completed.","N/A","N/A",2010
"78",2010,"Callie Watkins","Masters","Student","Brazilian Cities Research and Exhibition",1,"Brasilia, Brazil","Category A: Support for Senior Scholarly Research","Completed.","https://aap.cornell.edu/news-events/crp-student-questioning-community-architecture-informality-exclusion-and-public-space","N/A",2010
"79",2010,"Dorothy Fue Wong","N/A","Secondary School Educator, Los Angeles, California","Disaster Planning in the Four NHL Stein Communities",4,"Greenbelt, MD","Category C: Support for Stein Sites","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2010
"80",2010,"Dorothy Fue Wong","N/A","Secondary School Educator, Los Angeles, California","Disaster Planning in the Four NHL Stein Communities",4,"Baldwin Hills Village, CA","Category C: Support for Stein Sites","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2010
"81",2010,"Dorothy Fue Wong","N/A","Secondary School Educator, Los Angeles, California","Disaster Planning in the Four NHL Stein Communities",4,"Radburn, NJ","Category C: Support for Stein Sites","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2010
"82",2010,"Dorothy Fue Wong","N/A","Secondary School Educator, Los Angeles, California","Disaster Planning in the Four NHL Stein Communities",4,"Chatham Village, PA","Category C: Support for Stein Sites","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2010
"83",2011,"Kenny R. Cupers","N/A","Professor, School of Architecture & Planning, University of Buffalo, Buffalo, NY","French New Towns in Global Perspective",1,"France","Category A: Support for Senior Scholarly Research","Completed.","https://www.jstor.org/stable/10.5749/j.ctt7zw6b7","N/A",2011
"84",2011,"Silvano A. De le Llata","Ph.D","Student","Space, Place and Scale",2,"Barcelona, Spain","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8793455","Thesis NA9001 2014 D453",2011
"85",2011,"Silvano A. De le Llata","Ph.D","Student","Space, Place and Scale",2,"New York, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8793455","Thesis NA9001 2014 D453",2011
"86",2011,"Adrian Fine","N/A","Los Angeles Conservancy, Los Angeles, California","The Los Angeles Garden Apartments Network",1,"Los Angeles, CA","Category A: Support for Senior Scholarly Research","Completed.","https://www.laconservancy.org/explore-garden-apartments","N/A",2011
"87",2011,"George Homsy","Ph.D","Student","Sustainability and the Small City",1,"United States of America","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8442248","Thesis NA9001 2014 H667",2011
"88",2011,"Allison James","Masters","Student","Designing a Greenbelt for Erzurum, Turkey",1,"Erzurum, Turkey","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/7978781","Thesis SB468 2012 J364",2011
"89",2011,"Aki Marceau","Masters","Student","The Sustainable Regional Planning in Sendai",1,"Sendai City, Miyagi Prefecture, Japan","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/7537114","Thesis NA9001 2011 M373",2011
"90",2011,"Sarah McKinley and Pierre Clavel","N/A","Progressive Activists in City Hall","Progressive Activists in City Hall",1,"United States of America","Category A: Support for Senior Scholarly Research","Completed.","https://ecommons.cornell.edu/handle/1813/40484","N/A",2011
"91",2011,"Constance Werner Ramirez","N/A","Professor, Department of Landscape Architecture, School of Architecture and Allied Arts, University of Oregon, Eugene, Oregon","Stein Summer Institute 2012",1,"Greenbelt, MD","Category A: Support for Senior Scholarly Research","Completed.","https://patch.com/maryland/greenbelt/ev--greenbelt-clarence-stein-symposium","N/A",2011
"92",2011,"Tony Rohling","N/A","Oral History Coordinator, Sunnyside Gardens Preservation Alliance, Sunnyside, New York","Oral History and Illustrated Manuscript Project for Sunnyside Gardens",1,"Sunnyside Gardens, New York, NY","Category C: Support for Stein Sites","Completed.","http://rmc.library.cornell.edu/EAD/htmldocs/RMM06910.html#s2","N/A",2011
"93",2011,"Andrew Rumbach","N/A","Assistant Professor, Department of City & Regional Planning, University of Hawaii, Manoa","Navi Mumbai",1,"Navi Mumbai, Maharashtra, India","Category A: Support for Senior Scholarly Research","Completed.","https://doi.org/10.1080/07352166.2017.1282771","N/A",2011
"94",2011,"Sally Sims Stokes","N/A","Academic Director, Department of Library and Information Science, Catholic American University, Washington, D.C
","Stein’s Views on ‘Ethical Culture’ and Judeo-Christian Progressive Reform",1,"Greenbelt, MD","Category A: Support for Senior Scholarly Research","Completed.","https://doi.org/10.1007/978-3-319-43406-3_7","N/A",2011
"95",2011,"Roger Trancik","N/A","Professor Emeritus, Department of City and Regional Planning, Cornell University","Tropical Garden Cities",1,"Panama Canal, Panama","Category A: Support for Senior Scholarly Research","Completed.","https://aap.cornell.edu/news-events/exhibit-reveals-urban-design-panama-canal-area, http://ciudaddelsaber.org/en/press-room/events/conference-garden-cities-panama-canal/1000","N/A",2011
"96",2011,"Josi Ward","Ph.D","Student","Stein’s Role in Resettlement Administration Community Building",1,"California","Category B: Support for Student Research","Completed.","N/A","N/A",2011
"97",2011,"David West","Masters","Student","Pocket Neighborhoods to the Clarence S. Stein Institute for Urban and Landscape Studies",1,"New York, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8242109","Thesis NA9001 2013 W4565",2011
"98",2011,"Yizhao Yang","N/A","Department of Planning, Policy and Management, University of Oregon, Eugene, Oregon","Garden City Planning and Design in Contemporary China",1,"China","Category A: Support for Senior Scholarly Research","Completed.","N/A","N/A",2011
"99",2012,"Emily Bauer","Masters","Student","Climate Change Adaptation",1,"Roosevelt Island, New York, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8313020","Thesis SB468 2013 B384",2012
"100",2012,"Eva Birk","Masters","Student","Watershed-based Permits: Benton MacKaye’s Contributions",1,"Durham, NH","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8456253","Thesis NA9001 2014 B575",2012
"101",2012,"Caleb Cheng","Masters","Student","Carrying on the Hillside Tradition",1,"Hillside Homes, The Bronx, New York, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8456262","Thesis NA9001 2014 C446",2012
"102",2012,"Eden Gallanter","N/A","Landscape Architect, San Francisco, California","Stein’s Principles, Applied",1,"Ciudad Jardín Lomas del Palomar, Buenos Aires, Argentina","Category A: Support for Senior Scholarly Research","Completed.","https://doi.org/10.1080/02665433.2012.654973","N/A",2012
"103",2012,"Sophie Hochhausl","Ph.D","Student","Austrian Settlement Movement and the RPAA",2,"Vienna, Austria","Category B: Support for Student Research","Completed.","http://doi.org/10.5334/ah.aq","N/A",2012
"104",2012,"Sophie Hochhausl","Ph.D","Student","Austrian Settlement Movement and the RPAA",2,"Frankfurt, Germany","Category B: Support for Student Research","Completed.","http://doi.org/10.5334/ah.aq","N/A",2012
"105",2012,"Caitlin Kolb","Masters","Student","Stein’s Transportation Systems",1,"Hillside Homes, The Bronx, New York, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8442222","Thesis NA9001 2014 K653",2012
"106",2012,"Michael McGandy","N/A","Senior Editor, Cornell University Press","New Towns for America",4,"Greenbelt, MD",NA,"Completed.","https://www.jstor.org/stable/40101963","N/A",2012
"107",2012,"Michael McGandy","N/A","Senior Editor, Cornell University Press","New Towns for America",4,"Baldwin Hills Village, CA",NA,"Completed.","https://www.jstor.org/stable/40101963","N/A",2012
"108",2012,"Michael McGandy","N/A","Senior Editor, Cornell University Press","New Towns for America",4,"Radburn, NJ",NA,"Completed.","https://www.jstor.org/stable/40101963","N/A",2012
"109",2012,"Michael McGandy","N/A","Senior Editor, Cornell University Press","New Towns for America",4,"Chatham Village, PA",NA,"Completed.","https://www.jstor.org/stable/40101963","N/A",2012
"110",2012,"Carrie Randall","Masters","Student","Homegrown: Energy Innovations",1,"New York","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/7795831","Thesis NA9001 2012 R364",2012
"111",2012,"Roana Tirado","Masters","Student","Thin Park Typologies",1,"Caltrain Corridor, Bayview-Hunters Point, San Francisco, CA","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8643460","Thesis SB468 2014 T573b",2012
"112",2012,"Ana Vasudeo","Masters","Student","Exhibiting Housing Reform: Marashartrian Chawls in Girgaum",1,"Kamat Chawl, Girgaum, Mumbai, Maharashtra, India","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/7899558","Thesis NA9001 2012 V378",2012
"113",2013,"Alyson Fletcher","Masters","Student","Retrofitting Houston’s Utility Corridors as an Open Space Recreation Network",1,"Houston, Texas","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/8396504","Thesis SB468 2014 F548",2013
"114",2013,"George Frantz","N/A","Visiting Lecturer, Department of City and Regional Planning, Cornell University","A Comparison of Urban Residential Form in New York and Shanghai",2,"New York, NY",NA,"Completed.","https://aap.cornell.edu/news-events/crp-faculty-news-updates-august-2013","N/A",2013
"115",2013,"George Frantz","N/A","Visiting Lecturer, Department of City and Regional Planning, Cornell University","A Comparison of Urban Residential Form in New York and Shanghai",2,"Shanghai, China",NA,"Completed.","https://aap.cornell.edu/news-events/crp-faculty-news-updates-august-2013","N/A",2013
"116",2013,"Sangni Gao","Masters","Student","History and Practice of Beijing Superblock Complex",1,"Beijing, China","Category B: Support for Student Research","Completed.","N/A","N/A",2013
"117",2013,"Laural A. Harbin","Ph.D","Student","The Etawah Pilot Project",1,"Etawah, Uttar Pradesh, India","Category B: Support for Student Research","Completed.","https://doi.org/10.1080/02665433.2016.1241155","N/A",2013
"118",2013,"Lesli Hoey","N/A","Assistant Professor, Taubman College of Architecture & Urban Planning, University of Michigan, Ann Arbor, Michigan","Stein in the Tropics: New Town Ideas at Work in Bolivia",1,"San Julian, Bolivia","Category A: Support for Senior Scholarly Research","Completed.","https://docs.google.com/document/d/1xbmLrTGOamqS7CCTpmNu74xzTsqFkoPDw4Qbpc8ul3s/edit?usp=sharing","N/A",2013
"119",2013,"Tony Rohling","N/A","Director of Sunnyside Gardens Oral History Program, Sunnyside Gardens Preservation Alliance","Sunnyside Gardens Oral History Program for Sunnyside Gardens and Phipps Garden Apartments",1,"Sunnyside Gardens, Queens, New York","Category C: Support for Stein Sites","Completed.","http://rmc.library.cornell.edu/EAD/htmldocs/RMM06910.html#s2","N/A",2013
"120",2013,"Joseph Rukus","Ph.D","Student","Clarence Stein and 21st Century Public Safety Challenges: An Examination of Hillside Homes and Sunnyside Gardens",1,"Sunnyside Gardens, Queens, New York","Category B: Support for Student Research","Completed.","N/A","N/A",2013
"121",2013,"Peter Wissoker","Ph.D","Student","Does Form Follow Financing? Using Clarence Stein’s Investor Typology to Understand the Role of Real Estate-Related Finance in Urban Change",1,"N/A","Category B: Support for Student Research","Completed.","https://doi.org/10.7298/X48C9THM","N/A",2013
"122",2014,"Thomas Campanella","N/A","Associate Professor, Department of City and Regional Planning, Cornell University","The Inaugral Stein Speaker Series",NA,"N/A","Category A: Support for Senior Scholarly Research","Completed.","https://aap.cornell.edu/news-events/witold-rybczynski-american-urbanism-marketplace-ideas, https://aap.cornell.edu/news-events/michael-sorkin-how-green-was-my-city, https://aap.cornell.edu/news-events/sharon-zukin-globalization-local-shopping-streets-urban-ecosystems-new-york-shanghai, https://aap.cornell.edu/news-events/jerold-s-kayden-occupying-public-space, https://aap.cornell.edu/news-events/richard-campanella-two-centuries-paradox-geography-new-orleans-african-american, https://aap.cornell.edu/news-events/randolph-hester-jr-what-shape-size-color-and-texture-ecological-democracy, https://aap.cornell.edu/news-events/ellen-dunham-jones-retrofitting-suburbs-21st-century-challenges","N/A",2014
"123",2014,"Liz Falletta","N/A","Assistant Professor, Price School of Public Policy, University of Southern California, Los Angeles, California","Lessons unlearned: Chesapeake Rodeo Apartments vs. Baldwin Hills Village",1,"Los Angeles, CA","Category A: Support for Senior Scholarly Research","Completed.","http://byrightbydesign.com/","N/A",2014
"124",2014,"Shoshana Goldstein","Ph.D","Student","Toward New Towns for India: Community, Landscape, and the Planning of Gurgaon’s Urban Space",1,"Gurugram, Haryana, India","Category B: Support for Student Research","Completed.","https://aap.cornell.edu/news-events/shoshana-goldstein-planning-millennium-city-politics-place-making-gurgaons-urban","N/A",2014
"125",2014,"Scott Larson","N/A","Office of Community Studies Director, Department of Urban Studies, Queens College, City University of New York","A Community Needs Assessment of Creative Learning Opportunities in Sunnyside and Woodside, Queens",1,"Queens, New York, NY","Category A: Support for Senior Scholarly Research","Completed.","https://www.dropbox.com/s/e8i2mx0496fljhw/Creative%20Learning%20Assessment.pdf?dl=0","N/A",2014
"126",2014,"Margot Lystra","Ph.D","Student","The Regional Planning Association and the Imagined Freeway",NA,"N/A","Category B: Support for Student Research","Completed.","https://doi.org/10.7298/X4FX77M7","N/A",2014
"127",2014,"Petra Marar","Masters","Student","Boom, Silence, points, lines: Constructing Industry, Community and Wilderness in the Bakken Oil Boom",2,"Montana","Category B: Support for Student Research","Completed.","https://aap.cornell.edu/news-events/petra-marar-and-levi-schoenfeld-recent-work","N/A",2014
"128",2014,"Petra Marar","Masters","Student","Boom, Silence, points, lines: Constructing Industry, Community and Wilderness in the Bakken Oil Boom",2,"North Dakota","Category B: Support for Student Research","Completed.","https://aap.cornell.edu/news-events/petra-marar-and-levi-schoenfeld-recent-work","N/A",2014
"129",2014,"Liz Muller","N/A","Assistant Director for Technical Services and Curator of Digital and Media Collections, Division of Rare & Manuscripts Department, Cornell University","Preserving the Documentary Record of Planning: Enhancing Access to City and Regional Planning Collections",NA,"N/A","Category A: Support for Senior Scholarly Research","Completed.","https://rare.library.cornell.edu/collections/archandplanning","N/A",2014
"130",2014,"Melanie Sand","Ph.D","Student","Planning Disputes of the Disappearing Coast: The Role of Local Cultures in Post-Disaster Louisiana",1,"New Orleans, LA","Category B: Support for Student Research","Completed.","https://www.taylorfrancis.com/books/e/9781315520087","N/A",2014
"131",2015,"Annie Schentag","Ph.D","Student","The Machine in the Garden City: Accommodating Industrial Architecture Across the Atlantic",1,"Buffalo, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/10361506","Thesis NA37 2017 S345",2015
"132",2015,"Brian Byrd","Masters","Student","Shared Space Across Borders – A Practical Guide to Implement Shared Space in the USA based on Lessons Learned from Europe",NA,"N/A","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/9669002","Thesis NA9001 2016 B973",2015
"133",2015,"Design Connect","N/A","Organization","Design Connect",NA,"N/A","Category A: Support for Senior Scholarly Research","Completed.","https://blogs.cornell.edu/designconnectcornell/","N/A",2015
"134",2015,"Dorothy Fue Wong","N/A","Senior Secondary School Teacher, Independent Researcher, Los Angeles, CA","First step in the implementation of the National Park Services’s HALS, HABS, and GIS/GPS programs for the Stein National historic landmark Garden Cities",6,"Greenbelt, MD 

","Category A: Support for Senior Scholarly Research","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2015
"135",2015,"Dorothy Fue Wong","N/A","Senior Secondary School Teacher, Independent Researcher, Los Angeles, CA","First step in the implementation of the National Park Services’s HALS, HABS, and GIS/GPS programs for the Stein National historic landmark Garden Cities",6,"Baldwin Hills Village,  Los Angeles, CA
","Category A: Support for Senior Scholarly Research","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2015
"136",2015,"Dorothy Fue Wong","N/A","Senior Secondary School Teacher, Independent Researcher, Los Angeles, CA","First step in the implementation of the National Park Services’s HALS, HABS, and GIS/GPS programs for the Stein National historic landmark Garden Cities",6,"Radburn, NJ

","Category A: Support for Senior Scholarly Research","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2015
"137",2015,"Dorothy Fue Wong","N/A","Senior Secondary School Teacher, Independent Researcher, Los Angeles, CA","First step in the implementation of the National Park Services’s HALS, HABS, and GIS/GPS programs for the Stein National historic landmark Garden Cities",6,"Chatham Village, Pittsburg, PA
","Category A: Support for Senior Scholarly Research","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2015
"138",2015,"Dorothy Fue Wong","N/A","Senior Secondary School Teacher, Independent Researcher, Los Angeles, CA","First step in the implementation of the National Park Services’s HALS, HABS, and GIS/GPS programs for the Stein National historic landmark Garden Cities",6,"Greendale, WI

","Category A: Support for Senior Scholarly Research","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2015
"139",2015,"Dorothy Fue Wong","N/A","Senior Secondary School Teacher, Independent Researcher, Los Angeles, CA","First step in the implementation of the National Park Services’s HALS, HABS, and GIS/GPS programs for the Stein National historic landmark Garden Cities",6,"Green Hills, OH

","Category A: Support for Senior Scholarly Research","Completed.","http://www.landmarkwatch.org/gardenCity.html","N/A",2015
"140",2015,"James Macmillen","Ph.D","Student","Reimagining Detroit: City planning and the practice of futurity",1,"Detroit, MI","Category B: Support for Student Research","Completed.","https://doi.org/10.7298/X4J38QS9","N/A",2015
"141",2015,"Jennifer Rowe","Masters","Student","Design/Build in Croatia: Evaluating the Potential of Shared Visualization to Improve Participatory Design Outcomes",1,"Rab, Croatia","Category B: Support for Student Research","Completed.","https://www.asla.org/2016studentawards/179576.html","N/A",2015
"142",2015,"Jinhee Ha","Masters","Student","The Salt Exchange: Excavating Intersections of Industry & Community in Salt Mines of New York",1,"Cayuga Salt Mine, Ithaca, NY","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/9520146","Thesis SB468 2016 H3",2015
"143",2015,"Katelin Olson","Masters","Student","Adapting the City: Ethnic and Immigrant Integration in Buffalo’s Broadway-Fillmore Neighborhood",1,"Broadway-Filmore, Buffalo, NY","Category B: Support for Student Research","Completed.","https://doi.org/10.7298/X4348HKF","N/A",2015
"144",2015,"Mary Sies","N/A","Associate Professor, Department of American Studies, University of Maryland","Proposal Book Subvention Request for the Afterlife of Iconic Planned Communities: Heritage, Preservation, and Challenges of Change",NA,"N/A","Category A: Support for Senior Scholarly Research","Completed.","N/A","N/A",2015
"145",2015,"Mary Woods","N/A","Professor, Department of Architecture, Cornell University","Indian Cinema Halls as Architectures of Migration and Immigration",1,"India","Category A: Support for Senior Scholarly Research","Completed.","https://aap.cornell.edu/announcement/indian-cinemas-halls-architectures-migration-and-immigration-vani-subramanian-and-mary","N/A",2015
"146",2015,"Nicolas Azel","Masters","Student","Fecal Environments and Toxic Urbanisms: Application of Computation for Design in Complex Urban Systems",NA,"N/A","Category B: Support for Student Research","Completed.","N/A","N/A",2015
"147",2015,"Sean McGee","Masters","Student","Progressive Preservation: The Economic Benefits of Planned Development with Preservation in Mind, Historic Chatham Village",1,"Chatam Village, Pittsburgh, PA","Category B: Support for Student Research","Completed.","https://newcatalog.library.cornell.edu/catalog/9870566","Thesis NA9001 2016 M384",2015
